latitude,longitude,name_2
27.96,43.85,Arabic
43.36,25.05,Bulgarian
45.56,15.98,Croatian
49.87,15.1,Czech
54.87,9.36,Danish
52,5,Dutch
53,-1,English
58.55,25.82,Estonian
64.76,25.56,Finnish
48,2,French
48.65,12.47,German
38.36,23.13,Greek
25,77,Hindi
46.91,19.66,Hungarian
-7.33,109.72,Indonesian
43.05,12.65,Italian
35,135,Japanese
37.54,126.98,Korean
56.83,24.31,Latvian
55.14,23.96,Lithuanian
31.45,43.57,Persian
39.91,-8.1,Portuguese
46.39,24.23,Romanian
59,50,Russian
46.25,14.78,Slovene
40.44,-1.12,Spanish
59.8,17.39,Swedish
10.52,78.83,Tamil
39.87,32.87,Turkish
20.68,105.77,Vietnamese
